St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  825 1249]
40,50,20,Mode,40,[   0  784 1249]
40,50,20,Median,40,[   0  784 1249]
40,50,20,Mode,40,[   0  784 1249]
40,50,20,Median,40,[   0  224  708  820 1249]
40,50,20,Mode,40,[   0  224  717  784 1249]
40,50,20,Median,40,[   0  224  629  766  888 1118 1249]
40,50,20,Mode,40,[   0  224  629  784 1249]
40,50,20,Median,40,[   0  224  629  766  888 1118 1249]
40,50,20,Mode,40,[   0  224  629  784 1249]
40,50,20,Median,40,[   0  224  717  784  896 1118 1249]
40,50,20,Mode,40,[   0  224  717  784  896 1118 1249]
40,50,20,Median,40,[   0  224  717  784  896 1109 1152 1249]
40,50,20,Mode,40,[   0  224  717  784  896 1118 1249]
40,50,20,Median,40,[   0  224  563  629  717  784  896 1109 1152 1249]
40,50,20,Mode,40,[   0  224  563  629  717  784  896 1118 1249]
40,50,20,Median,40,[   0  224  563  629  717  820  896 1109 1152 1249]
40,50,20,Mode,40,[   0  224  563  629  717  820  896 1118 1249]
