St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  876 1249]
40,50,20,Mode,40,[   0  879 1249]
40,50,20,Median,40,[   0  747  939 1249]
40,50,20,Mode,40,[   0  774 1249]
40,50,20,Median,40,[   0  206  542  774  997 1249]
40,50,20,Mode,40,[   0  206  542  879  997 1249]
40,50,20,Median,40,[   0  206  542  762  879  997 1249]
40,50,20,Mode,40,[   0  206  542  774  879  997 1249]
40,50,20,Median,40,[   0   59  213  542  762  879  997 1249]
40,50,20,Mode,40,[   0   59  206  542  774  879  997 1249]
40,50,20,Median,40,[   0   59  213  542  762  879  985 1109 1249]
40,50,20,Mode,40,[   0   59  206  542  774  879  997 1109 1249]
40,50,20,Median,40,[   0   59  213  658  762  879  985 1109 1249]
40,50,20,Mode,40,[   0   59  206  658  774  879  997 1109 1249]
40,50,20,Median,40,[   0   59  206  658  762  879  985 1109 1249]
40,50,20,Mode,40,[   0   59  206  269  542  658  774  879  997 1109 1249]
40,50,20,Median,40,[   0   59  206  658  762  879  948 1109 1249]
40,50,20,Mode,40,[   0   59  206  658  774  879  958 1109 1249]
