St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  307  901 1249]
40,50,20,Mode,40,[   0  412 1249]
40,50,20,Median,40,[   0  166  774  962 1249]
40,50,20,Mode,40,[   0  412  774  901 1249]
40,50,20,Median,40,[   0  140  507  774  962 1249]
40,50,20,Mode,40,[   0  166  412  774  901 1249]
40,50,20,Median,40,[   0  140  507  774  901  997 1249]
40,50,20,Mode,40,[   0  166  412  774  901  997 1249]
40,50,20,Median,40,[   0  140  541  774  901  997 1249]
40,50,20,Mode,40,[   0  166  541  774  901  997 1249]
40,50,20,Median,40,[   0  140  541  774  901  994 1249]
40,50,20,Mode,40,[   0  166  541  774  901  997 1249]
40,50,20,Median,40,[   0   46  140  541  774  901  994 1249]
40,50,20,Mode,40,[   0   46  541  774  901  997 1249]
40,50,20,Median,40,[   0   46  140  307  412  541  774  901  994 1249]
40,50,20,Mode,40,[   0   46  166  307  412  541  774  901  997 1137 1249]
40,50,20,Median,40,[   0   46  140  541  624  774  901  994 1249]
40,50,20,Mode,40,[   0   46  166  307  412  541  624  774  901  997 1137 1249]
