St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  375 1022 1427]
40,50,20,Mode,40,[   0   98 1218 1427]
40,50,20,Median,40,[   0  141  567 1094 1427]
40,50,20,Mode,40,[   0   98 1218 1427]
40,50,20,Median,40,[   0  141  505 1218 1427]
40,50,20,Mode,40,[   0   98 1218 1427]
40,50,20,Median,40,[   0  492  618 1218 1427]
40,50,20,Mode,40,[   0   98  492  618 1218 1427]
40,50,20,Median,40,[   0  492  618  889 1094 1218 1427]
40,50,20,Mode,40,[   0   98  492  618 1124 1218 1427]
40,50,20,Median,40,[   0   98  214  492  618  889 1094 1218 1427]
40,50,20,Mode,40,[   0   98  214  492  618 1124 1218 1427]
40,50,20,Median,40,[   0   98  214  492  618  700 1094 1218 1427]
40,50,20,Mode,40,[   0   98  214  492  618  700 1124 1218 1427]
40,50,20,Median,40,[   0   98  214  492  618  700  889 1022 1124 1218 1427]
40,50,20,Mode,40,[   0   98  214  492  618  700 1022 1124 1218 1427]
40,50,20,Median,40,[   0   98  214  492  618  700  889 1022 1124 1218 1427]
40,50,20,Mode,40,[   0   98  214  492  618  700 1022 1124 1218 1427]
