St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1191 1465]
40,50,20,Mode,40,[   0   48 1217 1465]
40,50,20,Median,40,[   0 1217 1465]
40,50,20,Mode,40,[   0   48 1217 1465]
40,50,20,Median,40,[   0 1217 1465]
40,50,20,Mode,40,[   0   48 1217 1465]
40,50,20,Median,40,[   0   48 1217 1465]
40,50,20,Mode,40,[   0   48 1217 1465]
40,50,20,Median,40,[   0   48 1217 1465]
40,50,20,Mode,40,[   0   48 1217 1465]
40,50,20,Median,40,[   0   48  203  266  556 1217 1465]
40,50,20,Mode,40,[   0   48  203  266  556 1217 1465]
40,50,20,Median,40,[   0   48  203  266  556 1217 1465]
40,50,20,Mode,40,[   0   48  203  266  556 1217 1465]
40,50,20,Median,40,[   0   48  203  266  556 1217 1465]
40,50,20,Mode,40,[   0   48  203  266  556 1217 1465]
40,50,20,Median,40,[   0   48  203  266  556  910  965 1217 1465]
40,50,20,Mode,40,[   0   48  203  266  556  910  984 1217 1465]
