St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  352 1183 1651]
40,50,20,Mode,40,[   0  901 1651]
40,50,20,Median,40,[   0  352  978 1371 1651]
40,50,20,Mode,40,[   0  901 1283 1651]
40,50,20,Median,40,[   0  326 1190 1518 1651]
40,50,20,Mode,40,[   0  901 1140 1651]
40,50,20,Median,40,[   0  198  505  905 1190 1518 1651]
40,50,20,Mode,40,[   0  198  505  901 1140 1651]
40,50,20,Median,40,[   0  198  505  905 1140 1283 1524 1651]
40,50,20,Mode,40,[   0  198  505  901 1140 1283 1651]
40,50,20,Median,40,[   0  505  905 1140 1283 1524 1651]
40,50,20,Mode,40,[   0  198  505  901 1140 1283 1651]
40,50,20,Median,40,[   0  505 1155 1283 1524 1651]
40,50,20,Mode,40,[   0  198  505  901 1140 1283 1651]
40,50,20,Median,40,[   0  505  901  978 1140 1274 1393 1605 1651]
40,50,20,Mode,40,[   0  198  505  901 1016 1140 1283 1393 1605 1651]
40,50,20,Median,40,[   0  198  505  901  978 1140 1274 1393 1605 1651]
40,50,20,Mode,40,[   0  198  505  901 1016 1140 1283 1393 1605 1651]
