St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  184 1275 1651]
40,50,20,Mode,40,[   0  254 1341 1651]
40,50,20,Median,40,[   0  184 1109 1333 1651]
40,50,20,Mode,40,[   0  254 1148 1341 1651]
40,50,20,Median,40,[   0  184 1148 1341 1651]
40,50,20,Mode,40,[   0  254 1148 1341 1651]
40,50,20,Median,40,[   0  162  254 1217 1341 1651]
40,50,20,Mode,40,[   0  254 1275 1651]
40,50,20,Median,40,[   0  162  254 1148 1304 1484 1651]
40,50,20,Mode,40,[   0  254 1148 1341 1651]
40,50,20,Median,40,[   0  162  254  459  889 1148 1304 1484 1651]
40,50,20,Mode,40,[   0  254 1148 1341 1651]
40,50,20,Median,40,[   0  110  165  254  459  889 1148 1304 1484 1651]
40,50,20,Mode,40,[   0  110  165  254  459  897 1148 1341 1484 1651]
40,50,20,Median,40,[   0  110  165  254  459  889 1148 1275 1341 1484 1651]
40,50,20,Mode,40,[   0  110  165  254  459  897 1148 1275 1341 1484 1651]
40,50,20,Median,40,[   0  110  165  254  820  897 1148 1275 1484 1651]
40,50,20,Mode,40,[   0  110  165  254  820  897 1148 1275 1484 1651]
