St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  288 1093 1651]
40,50,20,Mode,40,[   0  288 1651]
40,50,20,Median,40,[   0  263  680 1651]
40,50,20,Mode,40,[   0  288  589 1651]
40,50,20,Median,40,[   0  263  589  898 1328 1651]
40,50,20,Mode,40,[   0  288  589 1651]
40,50,20,Median,40,[   0  121  288  589  898 1328 1651]
40,50,20,Mode,40,[   0  121  288  589  898 1328 1651]
40,50,20,Median,40,[   0  121  288  589  898 1132 1651]
40,50,20,Mode,40,[   0  121  288  589  898 1191 1651]
40,50,20,Median,40,[   0  121  288  589  898 1132 1651]
40,50,20,Mode,40,[   0  121  288  589  898 1328 1651]
40,50,20,Median,40,[   0  121  288  680  898 1132 1651]
40,50,20,Mode,40,[   0  121  288  680  898 1328 1651]
40,50,20,Median,40,[   0  121  288  680  898 1132 1651]
40,50,20,Mode,40,[   0  121  288  680  898 1328 1651]
40,50,20,Median,40,[   0  121  288  680  898 1093 1651]
40,50,20,Mode,40,[   0  121  288  680  898 1328 1651]
