St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  266 1044 1651]
40,50,20,Mode,40,[   0  260 1044 1651]
40,50,20,Median,40,[   0  260 1044 1651]
40,50,20,Mode,40,[   0  260 1044 1651]
40,50,20,Median,40,[   0  171  547 1044 1381 1651]
40,50,20,Mode,40,[   0  260 1044 1651]
40,50,20,Median,40,[   0  171  547  827 1044 1381 1651]
40,50,20,Mode,40,[   0  260  814 1044 1651]
40,50,20,Median,40,[   0  121  266  852 1044 1651]
40,50,20,Mode,40,[   0  121  260  814 1044 1651]
40,50,20,Median,40,[   0  121  260  404  852 1044 1651]
40,50,20,Mode,40,[   0  121  260  404  814 1044 1651]
40,50,20,Median,40,[   0  121  260  404  852 1044 1651]
40,50,20,Mode,40,[   0  121  260  404  814 1044 1651]
40,50,20,Median,40,[   0  121  260  404  547  852 1044 1251 1381 1651]
40,50,20,Mode,40,[   0  121  260  404  814 1044 1251 1381 1651]
40,50,20,Median,40,[   0  121  260  404  547  612  852 1044 1251 1381 1651]
40,50,20,Mode,40,[   0  121  260  404  547  612  814 1044 1251 1381 1651]
