St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1103 2271 2824]
40,50,20,Mode,40,[   0 1415 2641 2824]
40,50,20,Median,40,[   0 1090 2072 2824]
40,50,20,Mode,40,[   0 1415 2093 2641 2824]
40,50,20,Median,40,[   0  577 1265 2072 2824]
40,50,20,Mode,40,[   0  577 1415 2093 2641 2824]
40,50,20,Median,40,[   0  577 1218 1847 2641 2824]
40,50,20,Mode,40,[   0  577 1415 1847 2641 2824]
40,50,20,Median,40,[   0  577 1090 1847 2641 2824]
40,50,20,Mode,40,[   0  577 1051 1415 1847 2641 2824]
40,50,20,Median,40,[   0  132  577 1090 1847 2641 2824]
40,50,20,Mode,40,[   0   87  577 1051 1415 1847 2641 2824]
40,50,20,Median,40,[   0  132  577 1090 1816 2093 2641 2824]
40,50,20,Mode,40,[   0   87  577 1051 1415 1847 2271 2641 2824]
40,50,20,Median,40,[   0 1090 1816 2274 2501 2641 2824]
40,50,20,Mode,40,[   0   87  577 1415 2271 2490 2641 2824]
40,50,20,Median,40,[   0 1090 1717 2274 2501 2641 2824]
40,50,20,Mode,40,[   0   87  577 1051 1717 2271 2490 2641 2824]
