St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  922 2149 2824]
40,50,20,Mode,40,[   0  361 2137 2824]
40,50,20,Median,40,[   0  361 1257 2149 2824]
40,50,20,Mode,40,[   0  361  922 2137 2824]
40,50,20,Median,40,[   0  361 2173 2824]
40,50,20,Mode,40,[   0  361 1257 2137 2824]
40,50,20,Median,40,[   0  361 2149 2532 2824]
40,50,20,Mode,40,[   0  361 1257 2137 2529 2824]
40,50,20,Median,40,[   0  361 1257 1606 2149 2532 2824]
40,50,20,Mode,40,[   0  361 1257 1539 2137 2529 2824]
40,50,20,Median,40,[   0  361 1257 1606 2149 2532 2824]
40,50,20,Mode,40,[   0  361 1257 1539 2137 2529 2824]
40,50,20,Median,40,[   0  361  776  975 1257 1606 2149 2532 2824]
40,50,20,Mode,40,[   0  361 1257 1539 2137 2529 2824]
40,50,20,Median,40,[   0  361 1301 1606 2149 2530 2824]
40,50,20,Mode,40,[   0  361 1257 1539 2137 2529 2824]
40,50,20,Median,40,[   0  361  776  975 1257 1539 1694 2137 2288 2824]
40,50,20,Mode,40,[   0  361  776 1257 1539 1694 2137 2288 2529 2824]
