St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  634 2154 2824]
40,50,20,Mode,40,[   0 2154 2824]
40,50,20,Median,40,[   0  264 2154 2824]
40,50,20,Mode,40,[   0   92 2154 2824]
40,50,20,Median,40,[   0  264 1943 2528 2824]
40,50,20,Mode,40,[   0   92 2154 2528 2824]
40,50,20,Median,40,[   0  144  634 1015 1943 2824]
40,50,20,Mode,40,[   0   92  634 1015 2154 2824]
40,50,20,Median,40,[   0  208  634 1015 2154 2528 2824]
40,50,20,Mode,40,[   0   92  634 1015 2154 2824]
40,50,20,Median,40,[   0   92  370  644 1015 2154 2528 2824]
40,50,20,Mode,40,[   0   92  370  634 1015 2154 2528 2824]
40,50,20,Median,40,[   0   92  370  644 1015 2154 2422 2735 2824]
40,50,20,Mode,40,[   0   92  370  634 1015 2154 2528 2735 2824]
40,50,20,Median,40,[   0   92  370  644 1015 1696 1922 2154 2422 2735 2824]
40,50,20,Mode,40,[   0   92  370  634 1015 1739 1916 2154 2528 2735 2824]
40,50,20,Median,40,[   0   92  370  644 1015 1696 1922 2154 2422 2735 2824]
40,50,20,Mode,40,[   0   92  370  634 1015 1739 1916 2154 2528 2735 2824]
