St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 326 704 997]
40,50,20,Mode,40,[  0 326 704 997]
40,50,20,Median,40,[  0 151 439 704 997]
40,50,20,Mode,40,[  0 191 326 704 997]
40,50,20,Median,40,[  0 151 326 758 997]
40,50,20,Mode,40,[  0 191 326 704 997]
40,50,20,Median,40,[  0 151 326 704 832 997]
40,50,20,Mode,40,[  0 191 326 546 704 835 997]
40,50,20,Median,40,[  0 191 326 704 832 997]
40,50,20,Mode,40,[  0 191 326 546 704 835 997]
40,50,20,Median,40,[  0 191 326 441 546 704 834 997]
40,50,20,Mode,40,[  0 191 326 441 546 704 835 997]
40,50,20,Median,40,[  0 191 326 441 544 625 835 997]
40,50,20,Mode,40,[  0 191 326 441 546 625 835 997]
40,50,20,Median,40,[  0 191 326 441 544 625 704 758 835 997]
40,50,20,Mode,40,[  0 191 326 441 546 625 704 758 835 997]
40,50,20,Median,40,[  0 151 326 441 544 625 704 758 835 997]
40,50,20,Mode,40,[  0 151 326 441 546 625 704 758 835 997]
