St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 531 864 997]
40,50,20,Mode,40,[  0 532 953 997]
40,50,20,Median,40,[  0 531 864 997]
40,50,20,Mode,40,[  0 532 953 997]
40,50,20,Median,40,[  0 254 526 632 953 997]
40,50,20,Mode,40,[  0 254 532 632 953 997]
40,50,20,Median,40,[  0 254 526 632 953 997]
40,50,20,Mode,40,[  0 254 532 632 953 997]
40,50,20,Median,40,[  0 254 526 632 953 997]
40,50,20,Mode,40,[  0 254 532 632 953 997]
40,50,20,Median,40,[  0 254 532 632 953 997]
40,50,20,Mode,40,[  0 254 532 632 953 997]
40,50,20,Median,40,[  0 254 532 632 953 997]
40,50,20,Mode,40,[  0 254 532 632 953 997]
40,50,20,Median,40,[  0 254 532 632 953 997]
40,50,20,Mode,40,[  0 254 532 632 953 997]
40,50,20,Median,40,[  0 254 532 632 953 997]
40,50,20,Mode,40,[  0 254 532 632 953 997]
