St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 695 997]
40,50,20,Mode,40,[  0 534 658 997]
40,50,20,Median,40,[  0 206 529 776 997]
40,50,20,Mode,40,[  0 164 997]
40,50,20,Median,40,[  0 452 534 776 997]
40,50,20,Mode,40,[  0 452 534 997]
40,50,20,Median,40,[  0 452 534 733 997]
40,50,20,Mode,40,[  0 452 534 658 997]
40,50,20,Median,40,[  0 452 534 611 997]
40,50,20,Mode,40,[  0 452 534 658 997]
40,50,20,Median,40,[  0 164 349 452 534 611 997]
40,50,20,Mode,40,[  0 164 351 452 534 658 997]
40,50,20,Median,40,[  0 452 534 611 997]
40,50,20,Mode,40,[  0  63 164 351 452 534 658 997]
40,50,20,Median,40,[  0 164 349 452 534 602 759 997]
40,50,20,Mode,40,[  0 164 351 452 534 611 997]
40,50,20,Median,40,[  0 164 351 452 534 602 759 997]
40,50,20,Mode,40,[  0 164 351 452 534 611 997]
