St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  658 2292 2956]
40,50,20,Mode,40,[   0  834 2351 2956]
40,50,20,Median,40,[   0  298  834 2292 2956]
40,50,20,Mode,40,[   0  185  834 2351 2956]
40,50,20,Median,40,[   0  298  834 1988 2351 2956]
40,50,20,Mode,40,[   0  185  834 1988 2351 2956]
40,50,20,Median,40,[   0  298  834 1988 2351 2565 2956]
40,50,20,Mode,40,[   0  185  834 1988 2351 2565 2956]
40,50,20,Median,40,[   0  249  966 1988 2351 2565 2956]
40,50,20,Mode,40,[   0  185  966 1988 2351 2565 2956]
40,50,20,Median,40,[   0  249  636  834 1988 2351 2565 2956]
40,50,20,Mode,40,[   0  185  650  834 1988 2351 2565 2956]
40,50,20,Median,40,[   0  249  636  834 1988 2351 2565 2956]
40,50,20,Mode,40,[   0  185  650  834 1988 2351 2565 2956]
40,50,20,Median,40,[   0  380  834 1988 2351 2565 2956]
40,50,20,Mode,40,[   0  380  834 1988 2351 2565 2956]
40,50,20,Median,40,[   0  185  380  650  834  965 1988 2351 2565 2956]
40,50,20,Mode,40,[   0  185  380  650  834  966 1988 2351 2565 2956]
