St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1913 2956]
40,50,20,Mode,40,[   0  248 1848 2956]
40,50,20,Median,40,[   0  248  862 1983 2956]
40,50,20,Mode,40,[   0  248 1111 2956]
40,50,20,Median,40,[   0  248  852 1904 2956]
40,50,20,Mode,40,[   0  248 1111 2956]
40,50,20,Median,40,[   0  248  851 1912 2956]
40,50,20,Mode,40,[   0  248 1111 2956]
40,50,20,Median,40,[   0  248  828 1111 1912 2636 2956]
40,50,20,Mode,40,[   0  248 1111 2636 2956]
40,50,20,Median,40,[   0  248  921 1912 2956]
40,50,20,Mode,40,[   0  248 1111 2636 2956]
40,50,20,Median,40,[   0  248  636  862 1111 1912 2636 2956]
40,50,20,Mode,40,[   0  248  960 1408 2636 2956]
40,50,20,Median,40,[   0  248  636  862 1111 1786 2636 2956]
40,50,20,Mode,40,[   0  248  960 1848 1912 2191 2636 2956]
40,50,20,Median,40,[   0  248  636  862 1111 1786 2636 2956]
40,50,20,Mode,40,[   0  248  960 1848 1912 2191 2636 2956]
