St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  663 2404 2956]
40,50,20,Mode,40,[   0  228 2956]
40,50,20,Median,40,[   0  228  857 2956]
40,50,20,Mode,40,[   0  228  655 2956]
40,50,20,Median,40,[   0  228  857 1979 2494 2956]
40,50,20,Mode,40,[   0  228 1979 2407 2956]
40,50,20,Median,40,[   0  228  655  948 1979 2494 2956]
40,50,20,Mode,40,[   0  228  655 1137 1979 2407 2956]
40,50,20,Median,40,[   0  228  655  948 1979 2407 2638 2956]
40,50,20,Mode,40,[   0  228  655 1137 1979 2407 2635 2956]
40,50,20,Median,40,[   0  228  655  907 1137 1979 2407 2638 2956]
40,50,20,Mode,40,[   0  228  655  907 1137 1979 2407 2635 2956]
40,50,20,Median,40,[   0  228  655  907 1137 1979 2407 2638 2956]
40,50,20,Mode,40,[   0  228  655  907 1137 1979 2407 2635 2956]
40,50,20,Median,40,[   0  228  655  907 1137 1979 2407 2638 2956]
40,50,20,Mode,40,[   0  228  655  907 1137 1979 2407 2635 2956]
40,50,20,Median,40,[   0  228  655  907 1137 1979 2407 2635 2876 2956]
40,50,20,Mode,40,[   0  228  655  907 1137 1979 2407 2635 2876 2956]
