St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  360 2946 4758]
40,50,20,Mode,40,[   0  360 2893 4758]
40,50,20,Median,40,[   0  360 1576 2946 4758]
40,50,20,Mode,40,[   0  360 1500 2893 4758]
40,50,20,Median,40,[   0  360 1535 2780 3608 4758]
40,50,20,Mode,40,[   0  360 1500 2893 3479 4758]
40,50,20,Median,40,[   0  170 1535 2780 3608 4758]
40,50,20,Mode,40,[   0  170 1500 2893 3479 4758]
40,50,20,Median,40,[   0  170 1535 2471 2893 3608 4758]
40,50,20,Mode,40,[   0  170 1500 2471 2893 3479 4758]
40,50,20,Median,40,[   0  170 1535 2471 2893 3608 4758]
40,50,20,Mode,40,[   0  170 1500 2471 2893 3479 3911 4758]
40,50,20,Median,40,[   0  170 1576 2471 2893 3608 4758]
40,50,20,Mode,40,[   0  170 1500 2471 2893 3479 3911 4758]
40,50,20,Median,40,[   0  170  360  555 1576 2471 2893 3608 4758]
40,50,20,Mode,40,[   0  170  360  555 1500 2471 2893 3479 3911 4758]
40,50,20,Median,40,[   0  170  360  555 1576 2471 2780 2893 3608 3911 4758]
40,50,20,Mode,40,[   0  170  360  555 1500 2471 2780 2893 3479 3911 4758]
