St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  285 1562]
40,50,20,Mode,40,[   0  285  946 1562]
40,50,20,Median,40,[   0  255  881 1562]
40,50,20,Mode,40,[   0  285  946 1378 1562]
40,50,20,Median,40,[   0  669  946 1562]
40,50,20,Mode,40,[   0  285  669  946 1562]
40,50,20,Median,40,[   0  669  946 1266 1403 1562]
40,50,20,Mode,40,[   0  285  669  946 1307 1378 1562]
40,50,20,Median,40,[   0  126  255  669  946 1562]
40,50,20,Mode,40,[   0  126  285  669  946 1562]
40,50,20,Median,40,[   0  126  255  592  946 1562]
40,50,20,Mode,40,[   0  126  285  669  946 1562]
40,50,20,Median,40,[   0  126  255  592 1028 1562]
40,50,20,Mode,40,[   0  126  285  669  946 1562]
40,50,20,Median,40,[   0  126  255  592  770  946 1562]
40,50,20,Mode,40,[   0  126  285  528  753  946 1307 1378 1562]
40,50,20,Median,40,[   0  211  285  592  770  946 1562]
40,50,20,Mode,40,[   0  211  285  528  753  946 1562]
