St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  416 1249 1562]
40,50,20,Mode,40,[   0  433 1395 1562]
40,50,20,Median,40,[   0  371 1395 1562]
40,50,20,Mode,40,[   0  433  595 1395 1562]
40,50,20,Median,40,[   0  433  853 1395 1562]
40,50,20,Mode,40,[   0   53  433  757 1395 1562]
40,50,20,Median,40,[   0   53  390  595 1395 1562]
40,50,20,Mode,40,[   0   53  433  595 1395 1562]
40,50,20,Median,40,[   0   53  390  595  817  997 1395 1562]
40,50,20,Mode,40,[   0   53  433  757  985 1395 1562]
40,50,20,Median,40,[   0   53  390  595  817  997 1395 1562]
40,50,20,Mode,40,[   0   53  433  757  985 1395 1562]
40,50,20,Median,40,[   0   53  433  595  817  997 1395 1562]
40,50,20,Mode,40,[   0   53  433  757  985 1395 1562]
40,50,20,Median,40,[   0   53  433  595  853 1002 1395 1562]
40,50,20,Mode,40,[   0   53  433  853  985 1395 1562]
40,50,20,Median,40,[   0   53  281  371  433  595  853 1002 1395 1562]
40,50,20,Mode,40,[   0   53  281  390  595  853  985 1395 1562]
