St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  478 1024 1562]
40,50,20,Mode,40,[   0 1394 1562]
40,50,20,Median,40,[   0  478  925 1394 1562]
40,50,20,Mode,40,[   0 1117 1394 1562]
40,50,20,Median,40,[   0 1394 1562]
40,50,20,Mode,40,[   0  131  478 1117 1394 1562]
40,50,20,Median,40,[   0 1117 1394 1562]
40,50,20,Mode,40,[   0  131  478 1117 1394 1562]
40,50,20,Median,40,[   0  131  478 1117 1394 1562]
40,50,20,Mode,40,[   0  131  478 1117 1394 1562]
40,50,20,Median,40,[   0  863  982 1117 1394 1562]
40,50,20,Mode,40,[   0  863  925 1117 1394 1562]
40,50,20,Median,40,[   0   70  238  478  863  982 1117 1394 1562]
40,50,20,Mode,40,[   0  238  478  863  925 1117 1394 1562]
40,50,20,Median,40,[   0   70  238  478  571  687  863  982 1117 1394 1562]
40,50,20,Mode,40,[   0  238  478  571  687  863  925 1117 1394 1562]
40,50,20,Median,40,[   0   70  238  478  571  687  863  982 1117 1394 1562]
40,50,20,Mode,40,[   0  238  478  571  687  863  925 1117 1394 1562]
