St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  294 1098 1562]
40,50,20,Mode,40,[   0  424 1398 1562]
40,50,20,Median,40,[   0  248 1398 1562]
40,50,20,Mode,40,[   0  424 1398 1562]
40,50,20,Median,40,[   0   54  406 1398 1562]
40,50,20,Mode,40,[   0   54  424 1398 1562]
40,50,20,Median,40,[   0   51  692 1052 1398 1562]
40,50,20,Mode,40,[   0   54  424  615 1398 1562]
40,50,20,Median,40,[   0   51  253  692 1052 1398 1562]
40,50,20,Mode,40,[   0   54  248 1398 1562]
40,50,20,Median,40,[   0   51  253 1398 1562]
40,50,20,Mode,40,[   0   54  248 1398 1562]
40,50,20,Median,40,[   0   51  253 1163 1398 1562]
40,50,20,Mode,40,[   0   54  248  424  615 1001 1259 1398 1562]
40,50,20,Median,40,[   0   51  253 1001 1098 1398 1562]
40,50,20,Mode,40,[   0   54  248  424  615 1001 1052 1259 1398 1562]
40,50,20,Median,40,[   0   51  253  343  424 1001 1098 1398 1562]
40,50,20,Mode,40,[   0   54  248  343  424  615 1001 1052 1259 1398 1562]
