St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  348 1562]
40,50,20,Mode,40,[   0   46 1277 1562]
40,50,20,Median,40,[   0  143  700 1277 1562]
40,50,20,Mode,40,[   0   46  700 1277 1562]
40,50,20,Median,40,[   0   46  348 1277 1562]
40,50,20,Mode,40,[   0   46  348 1277 1562]
40,50,20,Median,40,[   0   46  348 1361 1562]
40,50,20,Mode,40,[   0   46  348 1277 1562]
40,50,20,Median,40,[   0   46  348  863 1164 1442 1562]
40,50,20,Mode,40,[   0   46  348  700  800 1277 1562]
40,50,20,Median,40,[   0   46  348  475  700 1442 1562]
40,50,20,Mode,40,[   0   46  348  475  700 1277 1562]
40,50,20,Median,40,[   0   46  348  475  680 1105 1277 1442 1562]
40,50,20,Mode,40,[   0   46  348  475  700  800 1277 1562]
40,50,20,Median,40,[   0   46  348  475  680  800  882 1105 1277 1442 1562]
40,50,20,Mode,40,[   0   46  348  475  700  800  863 1077 1277 1562]
40,50,20,Median,40,[   0   46  113  348  475  680 1042 1160 1277 1471 1562]
40,50,20,Mode,40,[   0   46  113  348  475  700  800 1077 1149 1277 1562]
