St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  285  915 1562]
40,50,20,Mode,40,[   0   46  700 1562]
40,50,20,Median,40,[   0  700 1562]
40,50,20,Mode,40,[   0   46  700 1277 1562]
40,50,20,Median,40,[   0   46  348 1562]
40,50,20,Mode,40,[   0   46  348 1277 1562]
40,50,20,Median,40,[   0   46  348 1452 1562]
40,50,20,Mode,40,[   0   46  348 1277 1452 1562]
40,50,20,Median,40,[   0   46  348  863 1160 1452 1562]
40,50,20,Mode,40,[   0   46  348 1277 1452 1562]
40,50,20,Median,40,[   0   46  348  486  700 1452 1562]
40,50,20,Mode,40,[   0   46  348  571  700 1277 1452 1562]
40,50,20,Median,40,[   0   46  348  486  700 1277 1452 1562]
40,50,20,Mode,40,[   0   46  348  571  700 1160 1277 1452 1562]
40,50,20,Median,40,[   0   46  348  486  700 1277 1452 1562]
40,50,20,Mode,40,[   0   46  348  571  700 1160 1277 1452 1562]
40,50,20,Median,40,[   0   46  348  475  571  707 1105 1277 1452 1562]
40,50,20,Mode,40,[   0   46  348  486  700 1160 1277 1452 1562]
