St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1094 1562]
40,50,20,Mode,40,[   0 1018 1562]
40,50,20,Median,40,[   0  681 1184 1562]
40,50,20,Mode,40,[   0  906 1018 1562]
40,50,20,Median,40,[   0  633 1018 1417 1562]
40,50,20,Mode,40,[   0  396  681 1018 1351 1562]
40,50,20,Median,40,[   0  202  633 1018 1417 1562]
40,50,20,Mode,40,[   0  202  681 1018 1351 1562]
40,50,20,Median,40,[   0  202  633  906 1417 1562]
40,50,20,Mode,40,[   0  202  681 1018 1351 1562]
40,50,20,Median,40,[   0  202  545  681  906 1417 1562]
40,50,20,Mode,40,[   0  202  396  524  681  906 1018 1351 1562]
40,50,20,Median,40,[   0  202  545  681  906 1351 1562]
40,50,20,Mode,40,[   0  202  396  524  681  906 1018 1351 1562]
40,50,20,Median,40,[   0  100  224  361  545  681  906 1077 1351 1562]
40,50,20,Mode,40,[   0   98  202  396  524  681  906 1018 1351 1449 1562]
40,50,20,Median,40,[   0  100  224  361  545  681  906 1018 1184 1351 1562]
40,50,20,Mode,40,[   0   98  202  396  524  681  906 1018 1184 1351 1449 1562]
