St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  117 1562]
40,50,20,Mode,40,[   0  117  968 1562]
40,50,20,Median,40,[   0  117  968 1261 1562]
40,50,20,Mode,40,[   0  117  968 1476 1562]
40,50,20,Median,40,[   0  117  847 1044 1562]
40,50,20,Mode,40,[   0  117  898  968 1476 1562]
40,50,20,Median,40,[   0  117  773  968 1261 1476 1562]
40,50,20,Mode,40,[   0  117  773  968 1261 1476 1562]
40,50,20,Median,40,[   0  117  587  847 1016 1261 1476 1562]
40,50,20,Mode,40,[   0  117  898 1261 1476 1562]
40,50,20,Median,40,[   0  117  810  968 1044 1261 1476 1562]
40,50,20,Mode,40,[   0  117  773  968 1044 1261 1476 1562]
40,50,20,Median,40,[   0  117  810  968 1044 1161 1261 1476 1562]
40,50,20,Mode,40,[   0  117  773  968 1044 1161 1261 1476 1562]
40,50,20,Median,40,[   0  215  607  968 1044 1161 1261 1476 1562]
40,50,20,Mode,40,[   0  215  587  898  968 1044 1161 1261 1476 1562]
40,50,20,Median,40,[   0  215  773  968 1044 1161 1261 1476 1562]
40,50,20,Mode,40,[   0  215  773  968 1044 1161 1261 1476 1562]
