St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1019 1562]
40,50,20,Mode,40,[   0   51 1019 1562]
40,50,20,Median,40,[   0  212  700 1113 1562]
40,50,20,Mode,40,[   0   51 1019 1562]
40,50,20,Median,40,[   0   50  262 1113 1562]
40,50,20,Mode,40,[   0   51  212  703 1019 1562]
40,50,20,Median,40,[   0   50  262  700 1019 1287 1562]
40,50,20,Mode,40,[   0   51  212  703 1019 1287 1562]
40,50,20,Median,40,[   0   50  223  389  700 1019 1287 1562]
40,50,20,Mode,40,[   0   51  212  389  703 1019 1287 1562]
40,50,20,Median,40,[   0   50  223  389  580 1019 1287 1562]
40,50,20,Mode,40,[   0   51  212  389  703 1019 1287 1562]
40,50,20,Median,40,[   0   50  223  389  580 1019 1113 1287 1562]
40,50,20,Mode,40,[   0   51  212  389  703 1019 1287 1562]
40,50,20,Median,40,[   0   50  223  389  580  703 1019 1102 1287 1395 1562]
40,50,20,Mode,40,[   0   51  212  703 1019 1395 1562]
40,50,20,Median,40,[   0   50  223  389  580  700  773 1019 1102 1287 1395 1562]
40,50,20,Mode,40,[   0   51  212  389  703  773 1019 1395 1562]
