St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  497 1158 1562]
40,50,20,Mode,40,[   0  455 1562]
40,50,20,Median,40,[   0  203 1166 1562]
40,50,20,Mode,40,[   0  272  455 1562]
40,50,20,Median,40,[   0   54  626 1005 1459 1562]
40,50,20,Mode,40,[   0  272  455 1459 1562]
40,50,20,Median,40,[   0   48  683 1005 1459 1562]
40,50,20,Mode,40,[   0   47  455  626 1459 1562]
40,50,20,Median,40,[   0   48  683  992 1215 1459 1562]
40,50,20,Mode,40,[   0   47  455  626 1005 1215 1459 1562]
40,50,20,Median,40,[   0   48  272  455  992 1215 1459 1562]
40,50,20,Mode,40,[   0   47  455  626 1005 1215 1459 1562]
40,50,20,Median,40,[   0   48  455  626  727  992 1215 1459 1562]
40,50,20,Mode,40,[   0   47  455  626  727 1005 1215 1459 1562]
40,50,20,Median,40,[   0   48  272  374  455  626  727  992 1215 1459 1562]
40,50,20,Mode,40,[   0   47  272  374  455  626  727 1005 1215 1459 1562]
40,50,20,Median,40,[   0   48  272  374  455  626  727  992 1215 1459 1562]
40,50,20,Mode,40,[   0   47  272  374  455  626  727 1005 1215 1459 1562]
