St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  491 2134]
40,50,20,Mode,40,[   0  278 2079 2134]
40,50,20,Median,40,[   0  491 1906 2134]
40,50,20,Mode,40,[   0  278 1139 2079 2134]
40,50,20,Median,40,[   0  440 1145 1599 1906 2134]
40,50,20,Mode,40,[   0  278 1139 2079 2134]
40,50,20,Median,40,[   0  374  729 1601 1906 2134]
40,50,20,Mode,40,[   0  278  684 2079 2134]
40,50,20,Median,40,[   0  374 1599 1906 2079 2134]
40,50,20,Mode,40,[   0  278 1139 1633 1906 2079 2134]
40,50,20,Median,40,[   0  374 1443 1633 1906 2079 2134]
40,50,20,Mode,40,[   0  278 1443 1633 1906 2079 2134]
40,50,20,Median,40,[   0  278 1443 1633 1906 2079 2134]
40,50,20,Mode,40,[   0  278 1443 1633 1906 2079 2134]
40,50,20,Median,40,[   0  278  414  690 1443 1633 1906 2079 2134]
40,50,20,Mode,40,[   0  278 1443 1633 1906 2079 2134]
40,50,20,Median,40,[   0  278  422  690 1139 1215 1443 1633 1906 2079 2134]
40,50,20,Mode,40,[   0  278  684  877 1139 1204 1443 1633 1906 2079 2134]
