St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  801 1845 2134]
40,50,20,Mode,40,[   0 2080 2134]
40,50,20,Median,40,[   0 1366 2080 2134]
40,50,20,Mode,40,[   0 1510 2080 2134]
40,50,20,Median,40,[   0 1097 1510 2080 2134]
40,50,20,Mode,40,[   0 1097 1510 2080 2134]
40,50,20,Median,40,[   0  466  792 1097 1510 2080 2134]
40,50,20,Mode,40,[   0  466  682 1097 1510 2080 2134]
40,50,20,Median,40,[   0  466  792 1097 1510 2080 2134]
40,50,20,Mode,40,[   0  466  682 1097 1510 2080 2134]
40,50,20,Median,40,[   0  466  682  967 1510 2080 2134]
40,50,20,Mode,40,[   0  466  682 1097 1510 2080 2134]
40,50,20,Median,40,[   0  466  682  967 1510 2080 2134]
40,50,20,Mode,40,[   0  466  682 1097 1510 2080 2134]
40,50,20,Median,40,[   0  466  792  967 1510 2080 2134]
40,50,20,Mode,40,[   0  466  682  792  891 1097 1366 1510 2080 2134]
40,50,20,Median,40,[   0  466  682  792  967 1097 1220 1510 2080 2134]
40,50,20,Mode,40,[   0  466  682  792  891 1097 1220 1510 2080 2134]
