,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,40,35,15,Mode,40,[   0 1313 2343 2422],3,1313,79,807.3333333333334,23383.387486058986,11.931412996154469,0.01504919406676294,27.84219819977949,5.327474918905924,0.11945413488457313,26.157138064251942,4.703332401114925,0.9924700174343184,0.9976415298238128,0.9987629510982812
1,40,35,15,Mode,40,[   0  476 1313 2343 2422],4,1030,79,605.5,16059.828395433273,9.700046683104553,-0.02868059541436753,23.47166301034896,6.0799595583263795,0.08175744166355242,19.639727687147904,5.569283178530983,0.9948466507616749,0.9977389390307029,0.9985067367477686
2,0,40,10,Mode,40,[   0  476 1229 1886 2070 2422],5,753,184,484.4,20529.161280296572,10.135766032477106,-0.04561031703534141,25.071344169727542,5.715834781104943,0.08347736719820392,26.863046988683777,4.680396578187398,0.9189814631609498,0.9351521710250215,0.9506995273131271
3,40,45,20,Median,40,[   0  882 1229 1313 1649 2343 2422],6,882,79,403.6666666666667,38688.54349599029,19.738473577522438,-0.10838800047837152,42.68047929061748,4.385195450505315,0.18432129844101613,78.64572093728911,2.8362875578041113,0.8816078496390259,0.8666829996716142,0.9035195877246196
4,0,40,10,Median,40,[   0  476 1076 1313 1886 2070 2343 2422],7,600,79,346.0,29280.16970544483,14.181072286822124,-0.04725767815029434,31.94531524550947,5.149924475411412,0.1271676684318747,46.692230846356004,3.369491741881262,0.9449064724311629,0.9562147020913192,0.9645333827722614
5,0,40,20,Mode,40,[   0  314  476  790 1229 1313 1731 2343 2422],8,612,79,302.75,38916.950186429414,19.435296526893122,-0.08937063622525493,39.66827311844531,5.852258414222483,0.18764869635904824,73.91518316538931,2.7415233155298577,0.935011430448634,0.9255875530524907,0.9380024407579085
6,60,45,20,Median,40,[   0  301  476  882 1229 1313 1649 1946 2140 2422],9,406,84,269.1111111111111,36287.326385764565,18.361843322441544,-0.10537535744873254,38.037892365428526,5.309192152734391,0.16086375610837378,71.34176757701862,2.6541910805220295,0.9117843524811998,0.8452297503524003,0.8652433217256772
7,0,35,10,Median,40,[   0  314  476  882 1229 1313 1709 1920 2070 2343 2422],10,406,79,242.2,34317.37281080695,18.66462131707792,-0.09969367081045258,36.83867190502466,5.224811144262092,0.17729205074219329,67.90286565708837,2.636362779845369,0.8950894015290077,0.8245651305834051,0.8475408737098078
8,0,35,10,Median,40,[   0  314  476  882 1076 1229 1313 1709 1920 2070 2343 2422],11,406,79,220.1818181818182,28632.703498885945,17.47877676589584,-0.13740035156950614,35.14578092191154,5.029524743543903,0.17026039027136664,63.35589401500745,2.650070518727399,0.9034397832270047,0.8468950160563049,0.8673852451783746
9,60,50,20,Mode,40,[   0  314  476  791 1076 1229 1313 1427 1649 2012 2140 2343 2422],12,363,79,201.83333333333334,26006.328314026363,17.438413281689076,-0.12008255661399142,36.49091095403615,5.122166225827768,0.1764349316614336,57.980308689443355,2.5423623091329395,0.930083698481325,0.9019024791534705,0.9118078470526545
10,60,40,20,Mode,40,[   0  314  476  882 1076 1229 1313 1417 1605 1649 2012 2140 2343 2422],13,406,44,186.30769230769232,25020.453233161737,18.678019104716654,-0.124554913846948,35.773245020590196,5.368154291282276,0.21272397304247248,55.39279198720479,2.3558918777793525,0.9216654071772331,0.8603996248419226,0.8769431704426287
11,60,40,20,Mode,40,"[   0  244  314  476  882 1076 1229 1313 1417 1605 1649 2012 2140 2343
 2422]",14,406,44,173.0,23050.427251857946,18.63279223894998,-0.1789928129790951,34.51778791001547,5.12196411050647,0.20058701526549663,53.36264611857177,2.2845098328513855,0.91948801035785,0.8502528095013755,0.8672845638252237
12,40,40,10,Median,40,"[   0  244  314  476  882 1076 1229 1313 1427 1649 1709 1946 2070 2140
 2343 2422]",15,406,60,161.46666666666667,18106.731799938487,15.600837507699413,-0.18314717500111405,30.775445009995433,5.137390234747477,0.11803043595991226,46.28396107070996,2.882472270257478,0.9055404066247978,0.8224022127799597,0.8413614290961255
