,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,0,50,10,Mode,40,[   0   10 1898],2,1888,10,949.0,414.5547132847616,6.455621178437876,0.20474475047565127,8.756167860510155,2.1222881267499627,0.20474475047565127,8.756167860510155,2.1222881267499627,0.2132613247440936,0.2715627810423009,0.973719662223166
1,0,40,15,Median,40,[   0   46 1586 1898],3,1540,46,632.6666666666666,151.42215768404375,1.3923087180357152,-0.007929149253923845,3.3153694293063025,17.07875470270169,0.03629349304744221,3.1990090109309146,14.34066919914042,0.9248464074155278,0.9624634070107368,0.9880596519847098
2,40,35,10,Mode,40,[   0   46 1339 1719 1898],4,1293,46,474.5,167.3384524673796,1.3512620956810106,-0.01804087959253911,3.223484008698704,16.548503709796876,0.029403282546607498,3.5225565601515942,12.9692254731505,0.9362092672186637,0.9671424930829041,0.9839239063266126
3,40,35,15,Mode,40,[   0   46  923 1339 1719 1898],5,877,46,379.6,158.11049525031044,1.2187462140766079,-0.02057336294681909,3.124713564658117,16.248578258034463,0.019963762150182075,3.337412694950891,13.39705618807113,0.9436975177536402,0.9631808333276433,0.9745691302647331
4,20,40,10,Mode,40,[   0   46  424 1071 1159 1719 1898],6,647,46,316.3333333333333,122.17973843729196,1.2065886623525341,-0.02520249651438508,2.663343512461047,19.097573146745443,0.018215673799869832,2.5437261320123463,13.302348799144704,0.9623999650861457,0.9793160116735494,0.9845594654366144
5,20,40,10,Mode,40,[   0   46  257  759 1071 1159 1719 1898],7,560,46,271.14285714285717,131.95168612572442,1.236830025411082,-0.030512918349873613,2.701413266298235,17.280440647806394,0.01379072137730337,2.7618584080520225,11.806760797553627,0.9679696104547905,0.9815825786466398,0.9854022237525716
6,40,45,15,Mode,40,[   0   46  424  873  923 1159 1658 1719 1898],8,499,46,237.25,119.76287398221737,1.429525757511343,-0.0374805430004486,2.567577801081386,17.871337201367105,0.020830340407271362,2.507846309173087,11.868019863578114,0.9589058219723985,0.9740728774455314,0.9790392178209288
7,40,50,15,Median,40,[   0   46  388  640  923 1112 1339 1595 1838 1898],9,342,46,210.88888888888889,189.28086801941166,1.4278263790918893,-0.05059909773750483,3.1909525308557143,15.471048281068695,0.014853674654361076,4.038291858392988,10.119144051605325,0.9452580964407757,0.9430481817235093,0.9505515570073275
8,20,45,10,Mode,40,[   0   46  257  424  873 1071 1159 1339 1719 1840 1898],10,449,46,189.8,142.0354748104873,1.3813085273874546,-0.04729393497561639,2.732263098882238,16.551861540910224,0.012471589605133285,2.963357972313275,11.198577321711216,0.9632975176017292,0.9720973843420605,0.9760890901733846
9,20,45,20,Mode,40,[   0   46  257  424  746  923 1071 1117 1339 1615 1719 1898],11,322,46,172.54545454545453,139.31148701463673,1.4569702674741536,-0.04533065767347621,2.718653369773562,16.04577654084088,0.016138000835791443,2.975057676586922,10.347885731957877,0.9507457539611165,0.952126752651308,0.957461847097484
10,20,45,20,Mode,40,[   0   46  257  424  746  923 1071 1117 1339 1615 1719 1840 1898],12,322,46,158.16666666666666,160.2343422887377,1.6201907097781771,-0.05575240098539602,3.0182205926130172,15.059506695226277,0.01707037168819088,3.42434168648173,9.570898749095528,0.94995572172918,0.9504390955525954,0.9557686235093376
11,20,45,20,Mode,40,[   0   46  257  424  746  923 1071 1117 1339 1539 1615 1719 1840 1898],13,322,46,146.0,150.1510258948816,1.5947399580913855,-0.05554887213534526,2.867085912111392,15.518427764266285,0.02004322849507252,3.2012061741444513,9.632343970678262,0.9509174687361956,0.9489586713690428,0.9540101958894535
12,20,45,20,Median,40,"[   0   46  257  389  482  746  923 1038 1159 1339 1539 1630 1719 1840
 1898]",14,264,46,135.57142857142858,164.03293435935268,1.5963484679015094,-0.06867378166745394,3.040573941067599,15.296628923298469,0.018340217692066542,3.509061790905365,9.180983594305367,0.9405253706062162,0.9322025662086453,0.9379611998481522
13,20,35,10,Mode,40,"[   0   46  257  352  424  637  759  923 1042 1227 1339 1563 1632 1719
 1840 1898]",15,224,46,126.53333333333333,150.62280360276418,1.6274135117570814,-0.070187213665897,2.914687880507195,15.092049824589422,0.01837200367872666,3.2004965482541547,8.762080929244377,0.927593480619687,0.9056898982122331,0.9132692534360638
14,40,50,15,Mode,40,"[   0   46  257  335  424  534  637  768  923 1071 1117 1339 1539 1658
 1719 1840 1898]",16,222,46,118.625,165.8035535197024,1.8078955683270588,-0.08098534871221827,2.9935394083921016,14.588164538289586,0.016445904938583094,3.5107845587968822,8.082541336179647,0.9393618543858083,0.9200242622239764,0.92610489266517
